                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.85406,                0.85428,                 1.2252,                0.71063,                0.76333,                0.77624,                 0.6028,                0.87039,                 1.2803,                 1.4504,             0.00072164,             0.00072164,             0.00072164
                     53,                 0.7858,                0.78931,                 1.1645,                0.81843,                0.75266,                0.78197,                0.63753,                0.86869,                 1.2123,                 1.5057,              0.0007075,              0.0007075,              0.0007075
                     54,                 0.7338,                0.76806,                 1.1592,                0.80504,                   0.75,                0.80696,                0.64175,                0.82985,                 1.0473,                 1.4327,             0.00069335,             0.00069335,             0.00069335
                     55,                0.75444,                0.75855,                 1.1652,                0.80683,                0.69135,                0.81196,                0.62859,                0.86928,                 1.0531,                 1.4814,              0.0006792,              0.0006792,              0.0006792
                     56,                0.78925,                0.83103,                 1.1908,                0.76509,                0.70139,                0.79316,                0.61483,                0.88264,                 1.2619,                 1.4598,             0.00066506,             0.00066506,             0.00066506
                     57,                 0.7592,                0.78857,                 1.1717,                0.67234,                0.75984,                0.71711,                0.56431,                0.94021,                 1.4084,                 1.5315,             0.00065091,             0.00065091,             0.00065091
                     58,                0.74408,                0.72574,                   1.16,                0.59519,                0.71471,                0.69339,                0.54039,                0.87932,                 1.4582,                 1.4498,             0.00063676,             0.00063676,             0.00063676
                     59,                0.82136,                0.78174,                 1.1824,                 0.8063,                0.64583,                0.74717,                0.57763,                 0.8962,                 1.4038,                 1.4925,             0.00062262,             0.00062262,             0.00062262
                     60,                0.75806,                0.76224,                 1.1692,                0.84973,                0.58959,                0.67774,                 0.5031,                0.98466,                 1.4566,                 1.5062,             0.00060847,             0.00060847,             0.00060847
                     61,                0.76861,                0.73109,                 1.1529,                0.91572,                0.69156,                0.78794,                0.59192,                0.92306,                 1.0907,                 1.5466,             0.00059432,             0.00059432,             0.00059432
                     62,                0.71864,                0.72517,                 1.1602,                0.83938,                0.78481,                0.83779,                0.64301,                0.86497,                0.98144,                 1.4489,             0.00058017,             0.00058017,             0.00058017
                     63,                0.72373,                0.69396,                 1.1443,                0.81565,                0.78021,                0.83419,                0.61546,                0.91923,                 1.0727,                 1.5124,             0.00056603,             0.00056603,             0.00056603
                     64,                0.74992,                0.75392,                 1.1321,                0.87683,                0.74109,                0.80724,                0.61111,                0.93136,                 1.1979,                 1.4923,             0.00055188,             0.00055188,             0.00055188
                     65,                 0.7741,                0.71051,                 1.1977,                0.84834,                0.75092,                0.80065,                0.64411,                0.78261,                 1.0438,                 1.3918,             0.00053773,             0.00053773,             0.00053773
                     66,                0.70338,                0.66847,                 1.1287,                0.83002,                 0.7931,                0.81836,                0.60829,                0.85052,                 1.0406,                  1.459,             0.00052359,             0.00052359,             0.00052359
                     67,                0.72626,                0.74185,                 1.1168,                0.76747,                0.78604,                 0.7859,                0.58908,                  0.929,                 1.0957,                 1.5383,             0.00050944,             0.00050944,             0.00050944
                     68,                0.72076,                0.67749,                 1.1263,                0.79165,                 0.6875,                0.75901,                0.60357,                0.83261,                 1.2252,                 1.3857,             0.00049529,             0.00049529,             0.00049529
                     69,                0.70603,                0.69555,                 1.1431,                0.82925,                0.70713,                0.79801,                0.63389,                0.82187,                 1.0727,                  1.395,             0.00048114,             0.00048114,             0.00048114
                     70,                0.70688,                0.65473,                 1.1235,                0.88446,                 0.7371,                0.81394,                0.64697,                0.81243,                 1.0658,                 1.4051,               0.000467,               0.000467,               0.000467
                     71,                0.67497,                0.62756,                 1.0937,                0.79237,                 0.7491,                0.80197,                0.64276,                0.81073,                 1.0604,                 1.4187,             0.00045285,             0.00045285,             0.00045285
